2023-04-14 16:11:25.5948 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Sending new flight log to clients...  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:11:25.5948 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Flight log sent!  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:11:25.5948 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Flight number: cc328fc6 (id: 2) - Flight brand: Elimelech Airlines - Passengers count: 123 - Is-Departing: True - Is now in leg: Fourth - Waiting: 5 seconds to cross  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService.MoveToNextLeg
2023-04-14 16:11:30.6225 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (Fourth) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:11:30.6225 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Leg (Fourth) updated in context!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:11:30.6270 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update legs in database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegsAsync
2023-04-14 16:11:30.6270 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Legs updated in database!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegsAsync
2023-04-14 16:11:30.6270 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to add new log to database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddLogAsync
2023-04-14 16:11:30.6270 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Log added!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddLogAsync
2023-04-14 16:11:30.6270 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Sending new flight log to clients...  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:11:30.6270 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Flight log sent!  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
